序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2003/01/31,松山,3.8,1.18,412.1,31.0,-,62,-,58.39,20.19,38.19,-,-,-,18.76,-,-,91.0,-
2,臺北市,2003/01/31,古亭,2.1,1.01,-,36.2,-,52,36.53,40.89,9.3,31.59,2.997,0.73,2.27,18.42,-,-,81.0,-
3,臺北市,2003/01/31,中山,4.1,1.44,-,28.7,-,95,-,77.62,30.63,47.0,3.579,0.75,2.83,19.28,-,-,80.0,-
4,臺北市,2003/01/31,大同,6.5,2.5,-,-,-,127,-,120.79,66.23,54.56,4.024,1.09,2.94,19.3,-,-,88.0,-
5,臺北市,2003/01/31,萬華,3.6,1.3,-,26.2,-,59,-,51.68,14.11,37.57,-,-,-,17.9,-,-,87.0,-
6,臺北市,2003/01/31,陽明,2.4,0.41,-,56.9,-,19,-,5.36,0.32,5.05,-,-,-,14.88,-,73.0,83.0,-
7,臺北市,2003/01/31,士林,2.2,1.02,-,35.9,-,48,-,49.39,12.48,38.13,-,-,-,17.71,-,-,107.0,-
8,臺北市,2003/01/30,松山,2.3,0.57,384.11,30.6,-,25,-,26.12,5.3,20.82,-,-,-,16.9,-,-,37.0,-
9,臺北市,2003/01/30,古亭,0.9,0.66,-,27.1,-,22,17.86,37.37,12.89,24.48,2.484,0.57,1.92,16.93,-,-,37.0,-
10,臺北市,2003/01/30,中山,1.5,0.65,-,23.4,-,39,-,38.83,9.91,28.92,2.587,0.37,2.22,17.64,-,-,39.0,-
11,臺北市,2003/01/30,大同,5.8,3.43,-,-,-,64,-,184.89,135.09,49.8,4.286,1.9,2.39,18.21,-,-,61.0,-
12,臺北市,2003/01/30,萬華,1.6,0.78,-,26.4,-,24,-,34.01,9.27,24.75,-,-,-,17.23,-,-,36.0,-
13,臺北市,2003/01/30,陽明,1.8,0.28,493.4,49.0,-,12,-,2.41,0.17,2.24,-,-,-,10.15,-,89.0,46.0,-
14,臺北市,2003/01/30,士林,2.2,0.44,-,35.6,-,18,-,21.52,2.51,19.02,-,-,-,16.73,-,-,39.0,-
15,臺北市,2003/01/29,松山,5.3,0.66,392.27,25.0,-,53,-,36.08,10.47,25.61,-,-,-,12.74,-,-,52.0,-
16,臺北市,2003/01/29,古亭,0.8,0.51,-,32.3,-,41,22.17,27.25,7.17,20.07,2.629,0.52,2.11,13.02,-,-,41.0,-
17,臺北市,2003/01/29,中山,3.4,0.61,-,22.9,-,56,-,39.83,9.33,30.5,2.666,0.34,2.32,13.69,-,-,53.0,-
18,臺北市,2003/01/29,大同,7.1,2.51,-,-,-,68,-,159.21,108.62,50.59,3.988,1.52,2.47,14.25,-,-,59.0,-
19,臺北市,2003/01/29,萬華,1.6,0.73,-,28.0,-,30,-,28.84,5.27,23.57,-,-,-,13.76,-,-,34.0,-
20,臺北市,2003/01/29,陽明,2.4,0.62,-,53.2,-,21,-,1.61,0.09,1.52,-,-,-,6.36,-,82.0,48.0,-
21,臺北市,2003/01/29,士林,1.7,0.4,-,41.4,-,30,-,15.53,2.0,13.53,-,-,-,12.71,-,-,41.0,-
22,臺北市,2003/01/28,松山,3.6,0.72,391.79,28.4,-,61,-,30.8,11.01,19.78,-,-,-,11.02,-,-,56.0,-
23,臺北市,2003/01/28,古亭,2.6,0.68,-,25.9,-,49,36.22,31.34,9.37,21.96,2.477,0.55,1.93,11.15,-,-,49.0,-
24,臺北市,2003/01/28,中山,3.3,0.72,-,21.4,-,72,-,41.83,14.28,27.55,2.662,0.36,2.3,11.88,-,-,61.0,-
25,臺北市,2003/01/28,大同,7.7,2.76,-,-,-,53,-,158.46,112.68,45.78,3.805,1.4,2.41,12.48,-,-,52.0,-
26,臺北市,2003/01/28,萬華,3.2,0.76,-,26.7,-,47,-,24.57,4.32,20.24,-,-,-,12.1,-,-,47.0,-
27,臺北市,2003/01/28,陽明,3.2,0.73,-,44.0,-,32,-,1.94,0.11,1.84,-,-,-,4.47,-,80.0,44.0,-
28,臺北市,2003/01/28,士林,2.5,0.57,-,34.5,-,-,-,19.28,2.52,16.76,-,-,-,10.86,-,-,38.0,-
29,臺北市,2003/01/27,松山,1.6,0.63,392.65,22.3,-,33,-,19.88,2.28,17.6,-,-,-,13.28,-,-,33.0,-
30,臺北市,2003/01/27,古亭,-,0.74,-,18.5,-,40,16.53,25.46,10.55,14.91,2.317,0.58,1.74,13.16,-,-,40.0,-
31,臺北市,2003/01/27,中山,1.7,0.72,-,14.9,-,45,-,33.25,6.98,26.27,2.641,0.37,2.27,14.15,-,-,45.0,-
32,臺北市,2003/01/27,大同,5.8,2.36,-,-,-,44,-,121.96,84.66,37.3,3.356,0.97,2.38,14.37,-,-,44.0,-
33,臺北市,2003/01/27,萬華,2.0,0.69,-,17.0,-,25,-,29.04,4.69,24.35,-,-,-,14.0,-,-,25.0,-
34,臺北市,2003/01/27,陽明,1.8,0.48,-,37.7,-,12,-,3.65,0.16,3.5,-,-,-,6.76,-,98.0,40.0,-
35,臺北市,2003/01/27,士林,1.4,0.67,-,21.5,-,-,-,29.59,3.7,25.89,-,-,-,12.96,-,-,29.0,-
36,臺北市,2003/01/26,松山,6.7,1.31,421.22,27.3,-,78,-,68.34,28.37,39.97,-,-,-,19.88,-,-,75.0,-
37,臺北市,2003/01/26,古亭,-,1.09,-,29.1,-,60,39.46,31.19,14.93,16.26,2.976,0.73,2.24,19.72,-,-,89.0,-
38,臺北市,2003/01/26,中山,3.7,1.01,-,25.8,-,84,-,58.5,16.94,41.56,2.897,0.57,2.32,20.6,-,-,70.0,-
39,臺北市,2003/01/26,大同,6.8,2.95,-,-,-,119,-,153.86,94.09,59.76,3.985,1.39,2.59,20.9,-,-,84.0,-
40,臺北市,2003/01/26,萬華,8.8,1.56,-,28.8,-,76,-,64.76,21.69,43.07,-,-,-,20.48,-,-,88.0,-
41,臺北市,2003/01/26,陽明,4.0,0.52,-,68.6,-,27,-,7.3,0.2,7.1,-,-,-,17.2,-,77.0,67.0,-
42,臺北市,2003/01/26,士林,3.0,1.44,-,25.1,-,77,-,82.59,33.69,49.85,-,-,-,18.85,-,-,72.0,-
43,臺北市,2003/01/25,松山,2.2,1.07,403.43,23.3,-,54,-,58.41,26.04,32.37,-,-,-,20.33,-,-,52.0,-
44,臺北市,2003/01/25,古亭,2.2,1.39,-,23.5,-,53,37.79,56.54,30.5,26.03,3.024,0.88,2.14,19.66,-,-,64.0,-
45,臺北市,2003/01/25,中山,4.9,1.67,-,18.2,-,83,-,107.82,54.55,52.87,3.683,1.02,2.67,20.48,-,-,66.0,-
46,臺北市,2003/01/25,大同,7.4,3.07,-,-,-,105,-,168.94,108.32,60.62,4.285,1.52,2.77,20.32,-,-,78.0,-
47,臺北市,2003/01/25,萬華,4.5,1.59,-,22.6,-,62,-,73.06,25.65,47.4,-,-,-,20.35,-,-,63.0,-
48,臺北市,2003/01/25,陽明,1.6,0.44,-,52.0,-,20,-,5.05,0.35,4.69,-,-,-,14.41,-,80.0,65.0,-
49,臺北市,2003/01/25,士林,2.5,1.15,-,28.8,-,55,-,70.55,25.49,45.52,-,-,-,18.86,-,-,62.0,-
50,臺北市,2003/01/24,松山,4.3,0.69,391.7,24.1,-,66,-,36.88,8.65,28.23,-,-,-,16.84,-,-,58.0,-
51,臺北市,2003/01/24,古亭,1.8,0.77,-,29.5,-,57,42.95,26.34,8.66,17.68,2.581,0.53,2.05,16.64,-,-,54.0,-
52,臺北市,2003/01/24,中山,3.6,0.83,-,19.9,-,77,-,45.91,12.17,33.74,2.661,0.42,2.25,17.39,-,-,64.0,-
53,臺北市,2003/01/24,大同,8.0,3.61,-,-,-,-,-,196.8,140.51,56.29,4.444,2.03,2.41,17.96,-,-,58.0,-
54,臺北市,2003/01/24,萬華,2.7,1.0,-,26.5,-,45,-,33.07,5.82,27.25,-,-,-,17.47,-,-,45.0,-
55,臺北市,2003/01/24,陽明,5.5,0.54,-,46.9,-,27,-,3.84,0.33,3.51,-,-,-,9.96,-,84.0,44.0,-
56,臺北市,2003/01/24,士林,2.9,0.59,-,38.1,-,44,-,20.36,2.23,18.14,-,-,-,16.56,-,-,44.0,-
57,臺北市,2003/01/23,松山,4.3,0.74,387.67,34.1,-,97,-,21.82,1.71,20.11,-,-,-,14.12,-,-,74.0,-
58,臺北市,2003/01/23,古亭,3.1,0.98,-,23.9,-,96,54.0,41.39,12.99,28.39,2.813,0.63,2.18,13.6,-,-,73.0,-
59,臺北市,2003/01/23,中山,4.7,0.76,-,25.5,-,108,-,34.81,5.48,29.33,2.619,0.35,2.27,14.69,-,-,79.0,-
60,臺北市,2003/01/23,大同,7.3,2.57,-,-,-,-,-,136.42,88.94,47.49,3.635,1.25,2.39,15.1,-,-,41.0,-
61,臺北市,2003/01/23,萬華,4.7,0.99,-,25.1,-,81,-,35.61,6.47,29.15,-,-,-,14.36,-,-,66.0,-
62,臺北市,2003/01/23,陽明,5.4,0.65,-,48.3,-,56,-,3.61,0.17,3.44,-,-,-,6.47,-,90.0,53.0,-
63,臺北市,2003/01/23,士林,3.5,0.63,-,38.1,-,71,-,21.09,1.79,19.31,-,-,-,13.2,-,-,60.0,-
64,臺北市,2003/01/22,松山,3.2,1.07,397.96,19.7,-,50,-,53.01,15.99,37.02,-,-,-,17.73,-,-,50.0,-
65,臺北市,2003/01/22,古亭,3.4,1.13,-,17.8,-,51,28.9,58.92,21.77,37.15,3.242,0.95,2.3,17.23,-,-,50.0,-
66,臺北市,2003/01/22,中山,4.2,1.13,-,11.4,-,68,-,69.49,25.03,44.46,3.246,0.78,2.46,18.1,-,-,59.0,-
67,臺北市,2003/01/22,大同,8.5,2.24,-,-,-,-,-,113.78,65.3,48.49,3.773,1.2,2.57,18.2,-,-,33.0,-
68,臺北市,2003/01/22,萬華,5.3,0.98,-,18.0,-,45,-,49.68,15.04,34.64,-,-,-,15.87,-,-,45.0,-
69,臺北市,2003/01/22,陽明,0.9,0.45,493.96,49.2,-,17,-,3.21,0.39,2.83,-,-,-,11.22,-,93.0,47.0,-
70,臺北市,2003/01/22,士林,3.1,0.71,-,23.0,-,39,-,52.82,12.64,38.49,-,-,-,16.54,-,-,40.0,-
71,臺北市,2003/01/21,松山,3.3,0.68,385.24,32.3,-,69,-,28.11,3.56,24.55,-,-,-,17.22,-,-,60.0,-
72,臺北市,2003/01/21,古亭,1.5,0.6,-,36.4,-,55,38.65,25.35,5.14,20.21,2.51,0.53,1.98,17.2,-,-,52.0,-
73,臺北市,2003/01/21,中山,4.2,0.74,-,28.0,-,92,-,36.34,7.38,28.96,2.549,0.36,2.19,17.95,-,-,71.0,-
74,臺北市,2003/01/21,大同,6.5,2.65,-,-,-,-,-,161.42,108.72,52.7,4.205,1.84,2.37,18.58,-,-,52.0,-
75,臺北市,2003/01/21,萬華,2.4,0.86,-,34.0,-,52,-,26.57,2.75,23.82,-,-,-,13.36,-,-,51.0,-
76,臺北市,2003/01/21,陽明,4.4,0.45,-,52.3,-,29,-,3.37,0.33,3.04,-,-,-,10.34,-,91.0,52.0,-
77,臺北市,2003/01/21,士林,2.2,1.28,-,45.4,-,42,-,15.8,1.38,14.43,-,-,-,16.84,-,-,50.0,-
78,臺北市,2003/01/20,松山,5.1,0.75,387.98,32.1,-,84,-,32.8,4.71,28.09,-,-,-,16.41,-,-,67.0,-
